Synset ID,Definition,Members,Previous Hypernyms,New Hypernym ID,New Hypernym Definition,New Hypernym Members
01859592-v,"change residence, affiliation, or place of employment",move,,00122978-v,"become different in some particular way, without permanently losing one's or its former characteristics or essence","change, alter, vary"
01861703-v,get going or set in motion,"start, start up",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01863207-v,cause to end,stop,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01864781-v,"come to a halt, stop moving","stop, halt",,00122978-v,"become different in some particular way, without permanently losing one's or its former characteristics or essence","change, alter, vary"
01868216-v,begin or set in motion,"start, go, get going",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01872892-v,"move with slow, sinuous movements",wreathe,,01839438-v,"change location; move, travel, or proceed, also metaphorically","travel, go, move, locomote"
01884666-v,"indicate by beating, as with the fingers or drumsticks",beat,,00923271-v,be a signal for or a symptom of,"bespeak, betoken, indicate, point, signal"
01903010-v,give the calls (to the dancers) for a square dance,"call, call off",,02568816-v,emit or utter,give
01904753-v,cause to stumble,"trip, trip up",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01948111-v,"be suspended in the air, as if in defiance of gravity","levitate, hover",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
01969163-v,cause to jump or leap,"jump, leap",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01985293-v,shoot at and force to come down,"down, shoot down, land",,01139564-v,hit with a missile from a weapon,"shoot, hit, pip"
01987611-v,rise up as in fear,"bristle, uprise, stand up",,01985637-v,"stand up on the hind legs, of quadrupeds","rear, rise up"
01993576-v,cause to burst,"collapse, burst",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02001544-v,cause to travel backward,back,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02003830-v,take somebody somewhere,"lead, take, direct, conduct, guide",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02009962-v,reach a destination; arrive by movement or progress,"arrive, get, come",,02024442-v,"reach a destination, either real or abstract","reach, make, attain, hit, arrive at, gain"
02013215-v,remain behind,stay,,02736899-v,stay behind,"persist, remain, stay"
02013448-v,go away from a place,"leave, go forth, go away",,01839438-v,"change location; move, travel, or proceed, also metaphorically","travel, go, move, locomote"
02020375-v,to come or go into,"enter, come in, get into, get in, go into, go in, move into",,01839438-v,"change location; move, travel, or proceed, also metaphorically","travel, go, move, locomote"
02024442-v,"reach a destination, either real or abstract","reach, make, attain, hit, arrive at, gain",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02026953-v,come together,"meet, run into, encounter, run across, come across, see",,01853188-v,"move toward, travel toward something or somebody or approach something or somebody","come, come up"
02035003-v,make a division or separation,"separate, divide",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02039160-v,form an arch over,"overarch, arch over",,00144670-v,assume a form or shape,form
02056400-v,cause to pass,"pass, make pass",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02071617-v,cause to flow,flow,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02082838-v,bring in a new person or object into a familiar environment,"bring in, introduce",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02085825-v,depart and not take along,leave behind,,01852660-v,move away from a place into another direction,"go, go away, depart"
02091072-v,cause to run in panic,stampede,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02091739-v,bring to port,port,,02081903-v,take something or somebody with oneself somewhere,"bring, convey, take"
02103242-v,be or come between,interpose,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02109935-v,"appear to be moving upward, as by means of tendrils","ascend, climb up",,02137900-v,give a certain impression of being something or having a certain aspect,"look, appear, seem"
01620211-v,make or cause to be or to become,"make, create",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01622250-v,deprive of certain characteristics,"unmake, undo",,02318230-v,"keep from having, keeping, or obtaining",deprive
01624592-v,create or manufacture a man-made product,"produce, make, create",,01620211-v,make or cause to be or to become,"make, create"
01647780-v,cause to appear,bring on,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01656437-v,cause to bear fruit,fruit,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01703755-v,write or name the letters that comprise the conventionally accepted form of (a word or part of a word),"spell, write",,00995046-v,communicate or express by writing,write
01716563-v,carry out or perform an action,"perform, execute, do",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01720741-v,be performed or presented for public viewing,play,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01721028-v,cause to emit recorded audio or video,"play, run",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01722190-v,be performed for the first time,"premier, premiere",,00426024-v,"come into being or existence, or appear on the scene","appear, come along"
01724519-v,come on stage,enter,,02009962-v,reach a destination; arrive by movement or progress,"arrive, get, come"
01725433-v,behave unnaturally or affectedly,"dissemble, pretend, act",,00010428-v,behave in a certain manner; show a certain behavior; conduct or comport oneself,"act, behave, do"
01743695-v,"cultivate by growing, often involving improvements by means of agricultural techniques","grow, raise, farm, produce",02560130-v,01746607-v,foster the growth of,cultivate
01746607-v,foster the growth of,cultivate,,02560130-v,promote the growth of,"foster, further"
01748492-v,have (one's work) issued for publication,publish,,00426024-v,"come into being or existence, or appear on the scene","appear, come along"
01757596-v,bring into existence,create,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00001740-v,"draw air into, and expel out of, the lungs","breathe, take a breath, respire, suspire",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00010428-v,behave in a certain manner; show a certain behavior; conduct or comport oneself,"act, behave, do","01604155-v, 02372362-v",02372362-v,"perform an action, or work out or perform (an action)","act, do"
00014542-v,be in a state of action,"be active, move",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00015706-v,sleep longer than intended,oversleep,,00014735-v,be asleep,"sleep, kip, slumber, log Z's, catch some Z's"
00016695-v,let the head fall forward through drowsiness,nod,,01835473-v,"move so as to change position, perform a nontranslational motion",move
00017275-v,change from a waking to a sleeping state,"fall asleep, dope off, flake out, drift off, nod off, drop off, doze off, drowse off",,00122978-v,"become different in some particular way, without permanently losing one's or its former characteristics or essence","change, alter, vary"
00017858-v,prepare for sleep,"go to bed, turn in, bed, crawl in, kip down, hit the hay, hit the sack, sack out, go to sleep, retire",,00407168-v,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc","fix, prepare, set up, ready, gear up, set"
00018151-v,get up and out of bed,"get up, turn out, arise, uprise, rise",,02019450-v,move out of or depart from,"exit, go out, get out, leave"
00020126-v,"be awake, be alert, be there",wake,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00020442-v,prevent from going to bed at night,keep up,,02455370-v,stop (someone or something) from doing something or being in a certain state,"prevent, keep"
00052091-v,be dressed in,"wear, have on",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00057124-v,be in confinement for childbirth,lie in,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00059330-v,carry out a pregnancy,carry to term,,00485097-v,come or bring to a finish or an end,"complete, finish"
00077122-v,manage not to throw up,keep down,,02528530-v,be successful; achieve a goal,"pull off, negociate, bring off, carry off, manage"
00077211-v,make an unsuccessful effort to vomit; strain to vomit,"gag, heave, retch",,02535833-v,make an effort or attempt,"try, seek, attempt, essay, assay"
00078513-v,provide treatment for,"treat, care for",,02332196-v,give something useful or necessary to,"supply, provide, render, furnish, offer"
00099475-v,do physical exercise,"exercise, work out",,02566500-v,engage in,"make, do"
00100659-v,cause to do preliminary exercises so as to stretch the muscles,warm up,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
00104622-v,eliminate (a substance),"exhaust, discharge, expel, eject, release",,02635337-v,get rid of something,"obviate, rid of, eliminate"
00107925-v,break (a bone) that was previously broken but mended in an abnormal way,refracture,00107543-v,00107747-v,break (a bone),fracture
02110264-v,be aware of,"record, register",,02122959-v,notice or perceive,"notice, mark, note"
02110960-v,to become aware of through the senses,"perceive, comprehend",,00149403-v,enter or assume a certain state or condition,"become, go, get"
02113108-v,receive as a retribution or punishment,"get, receive",,02214901-v,get something; come into possession of,"receive, have"
02113245-v,cause to experience suddenly,"hit, strike, come to",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02120261-v,cause to sense; make sensitive,"sensitize, sensitise",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02122959-v,notice or perceive,"notice, mark, note",,02110960-v,to become aware of through the senses,"perceive, comprehend"
02123398-v,observe with care or pay close attention to,"note, take note, observe",,02133118-v,observe without intervening,"watch, look on"
02123706-v,fail to notice,ignore,,02534950-v,fail to do something; leave something undone,"fail, neglect"
02125888-v,cause to perceive an itch,itch,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02128368-v,have perceptible qualities,cause to be perceived,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02129097-v,be smelled; have a strong odor,reach one's nostrils,,02129213-v,inhale the odor of; perceive by the olfactory sense,smell
02129925-v,recognize or detect by or as if by smelling,"sniff out, scent out, smell out, nose out",,02197640-v,detect with the senses,"spot, recognize, recognise, distinguish, discern, pick out, make out, tell apart"
02132318-v,fail to perceive or to catch with the senses or the mind,"miss, lose",,02534950-v,fail to do something; leave something undone,"fail, neglect"
02132531-v,see for the first time; make a discovery,discover,,02110960-v,to become aware of through the senses,"perceive, comprehend"
02133118-v,observe without intervening,"watch, look on",,01022014-v,make mention of,"note, observe, mention, remark"
02134482-v,be no longer able to see,lose sight of,,02292634-v,"fail to keep or to maintain; cease to have, either physically or in an abstract sense",lose
02135744-v,"observe, check out, and look over carefully or inspect","examine, see",,02173796-v,watch attentively,observe
02136428-v,observe or determine by looking,watch,,02460829-v,follow with the eyes or the mind,"watch, observe, follow, watch over, keep an eye on"
02139513-v,give off a certain sound or sounds,sound,,02773266-v,"give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc.","emit, give out, give off"
02140736-v,to throw or bend back (from a surface),"reflect, reverberate",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02141597-v,make visible or noticeable,show,,01620211-v,make or cause to be or to become,"make, create"
02149298-v,prevent from being seen or discovered,"hide, conceal",,02458316-v,keep from happening or arising; make impossible,"prevent, forestall, foreclose, preclude, forbid"
02150244-v,"be or go into hiding; keep out of sight, as for protection and safety","hide, hide out",,02687605-v,"cause to continue in a certain state, position, or activity","keep, maintain, hold"
02151220-v,hold back; keep from being perceived by others,"conceal, hold back, hold in",,02687605-v,"cause to continue in a certain state, position, or activity","keep, maintain, hold"
02154940-v,look attentively,watch,,02134989-v,perceive with attention; direct one's gaze towards; look,look
02156396-v,"be vigilant, be on the lookout or be careful","watch, look out, watch out",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02161530-v,bring onto the market or release,"produce, bring on, bring out",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02162464-v,become glassy; lose clear vision,"film over, glaze over, blur",,00149403-v,enter or assume a certain state or condition,"become, go, get"
02171205-v,cause oneself to consider something,bethink,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02172999-v,render unable to see,blind,,00120483-v,cause to become,render
02183962-v,cause to sound,sound,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02194523-v,be unbearably loud,deafen,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02196212-v,lend flavor to,"season, flavor, flavour",,00126072-v,cause to change; make different; cause a transformation,"change, alter, modify"
02197640-v,detect with the senses,"spot, recognize, recognise, distinguish, discern, pick out, make out, tell apart",,02158938-v,"discover or determine the existence, presence, or fact of by perception with the eyes","detect, observe, find, discover, notice"
02198732-v,have flavor; taste of something,"taste, savor, savour",,02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold"
02201537-v,allow to go out of sight or mind,lose,,02427979-v,make it possible through a specific action or lack of action for something to happen,"let, allow, permit"
02202019-v,be perceived by,greet,,02736201-v,be beset by,"run into, encounter"
02203116-v,keep under surveillance,"surveil, follow, survey",,02687605-v,"cause to continue in a certain state, position, or activity","keep, maintain, hold"
00590283-v,know and comprehend the nature or meaning of,understand,,00596016-v,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,"know, cognize, cognise"
00592510-v,perceive (an idea or situation) mentally,"understand, realize, realise, see",,00630153-v,"use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments","think, cogitate, cerebrate"
00593150-v,become clear or enter one's consciousness or emotions,"click, get through, dawn, come home, get across, sink in, penetrate, fall into place",,00592510-v,perceive (an idea or situation) mentally,"understand, realize, realise, see"
00593432-v,be received or understood,"resonate, come across",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00595453-v,be understanding of,"sympathize, sympathise, empathize, empathise, understand",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00595732-v,be familiar or acquainted with a person or an object,know,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00596016-v,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,"know, cognize, cognise",,02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold"
00596900-v,be ignorant of or in the dark about,ignore,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00597330-v,know how to do or perform something,know,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00597527-v,have fixed in the mind,know,,02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold"
00599310-v,gain knowledge or skills,"learn, larn, acquire",,02293158-v,win something through one's efforts,"acquire, win, gain"
00600349-v,"get to know or become aware of, usually accidentally","learn, hear, get word, get wind, pick up, find out, get a line, discover, see",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00601387-v,be a student of a certain subject,"learn, study, read, take",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00602773-v,cause to be immersed,"plunge, immerse",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
00602976-v,be immersed in,welter,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00608800-v,be a student; follow a course of study; be enrolled at an institute of learning,study,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00609334-v,recall knowledge from memory; have a recollection,"remember, retrieve, recall, call back, call up, recollect, think",,00630153-v,"use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments","think, cogitate, cerebrate"
00610362-v,be capable of conscious thought,think,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00610654-v,be unable to remember,"forget, block, blank out, draw a blank",,00630153-v,"use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments","think, cogitate, cerebrate"
00611237-v,keep in mind for attention or consideration,"remember, think of",,00630153-v,"use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments","think, cogitate, cerebrate"
00611721-v,dismiss from the mind; stop remembering,"forget, bury",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off"
00612092-v,put in the mind of someone,remind,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00612810-v,recapture the past; indulge in memories,"remember, think back",,00630153-v,"use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments","think, cogitate, cerebrate"
00613035-v,"call to remembrance; keep alive the memory of someone or something, as in a ceremony","commemorate, remember",,02687605-v,"cause to continue in a certain state, position, or activity","keep, maintain, hold"
00614907-v,stop maintaining or insisting on; of ideas or claims,"abandon, give up",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off"
00615374-v,"go and leave behind, either intentionally or by neglect or forgetfulness",leave,,01839438-v,"change location; move, travel, or proceed, also metaphorically","travel, go, move, locomote"
00616690-v,leave undone or leave out,"neglect, pretermit, omit, drop, miss, leave out, overlook, overleap",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00617843-v,fail to attend to,neglect,,02534950-v,fail to do something; leave something undone,"fail, neglect"
00618547-v,give little or no attention to,"neglect, ignore, disregard",,02321848-v,"cause to have, in the abstract sense or physical sense",give
00619438-v,to make a mistake or be incorrect,"err, mistake, slip",,02566500-v,engage in,"make, do"
00630153-v,"use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments","think, cogitate, cerebrate",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00638550-v,use as a basis for; found on,"establish, base, ground, found",,01631641-v,bring into being,"originate, initiate, start"
00641511-v,reach by calculation,get,,02024442-v,"reach a destination, either real or abstract","reach, make, attain, hit, arrive at, gain"
00645135-v,"make a mathematical, chemical, or grammatical analysis of; break down into components or essential features","analyze, analyse, break down, dissect, take apart",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00646245-v,consider in detail and subject to an analysis in order to discover essential features or meaning,"analyze, analyse, study, examine, canvass",,00692380-v,deem to be,"see, consider, reckon, view, regard"
00654017-v,"identify as in botany or biology, for example","identify, discover, key, key out, distinguish, describe, name",,00701581-v,fix conclusively or authoritatively,"determine, set"
00667804-v,establish or strengthen as with new evidence or facts,"confirm, corroborate, sustain, substantiate, support, affirm",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00681308-v,select as an alternative over another,"choose, prefer, opt",,00676526-v,"pick out, select, or choose from a number of alternatives","choose, take, select, pick out"
00687320-v,dismiss from consideration or a contest,"rule out, eliminate, winnow out, reject",,00802592-v,bar from attention or consideration,"dismiss, disregard, brush aside, brush off, discount, push aside, ignore"
00699355-v,"reach, make, or come to a decision about something","decide, make up one's mind, determine",,01620211-v,make or cause to be or to become,"make, create"
00701581-v,fix conclusively or authoritatively,"determine, set",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00710367-v,have in mind as a purpose,"intend, mean, think",,02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold"
00721987-v,look forward to the probable occurrence of,"expect, look, await, wait",,00630153-v,"use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments","think, cogitate, cerebrate"
00722732-v,realize beforehand,"anticipate, previse, foreknow, foresee",,00592510-v,perceive (an idea or situation) mentally,"understand, realize, realise, see"
00723679-v,bring to light,rake up,,00135665-v,bring into a different state,"bring, land"
00723989-v,search and discover through persistent investigation,"ferret out, ferret",,01641524-v,"make a discovery, make a new finding","discover, find"
00734575-v,stick to correctly or closely,"observe, keep, maintain",,00352060-v,keep to,"stick to, stick with, follow"
00738221-v,break down into components or essential features,"analyze, analyse",,00692380-v,deem to be,"see, consider, reckon, view, regard"
01074673-v,compete for something; engage in a contest; measure oneself against others,"compete, vie, contend",,02380222-v,carry out or participate in an activity; be involved in,"prosecute, engage, pursue"
01079008-v,have a turn; make one's move in a game,"move, go",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01081873-v,"contend against an opponent in a sport, game, or battle","meet, encounter, play, take on",,01074673-v,compete for something; engage in a contest; measure oneself against others,"compete, vie, contend"
01084999-v,become a participant; be involved in,"enter, participate",,00149403-v,enter or assume a certain state or condition,"become, go, get"
01085437-v,give up in the face of defeat of lacking hope; admit defeat,"drop out, give up, fall by the wayside, drop by the wayside, throw in, throw in the towel, quit, chuck up the sponge",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off"
01089608-v,prepare oneself for a military confrontation,"arm, build up, fortify, gird",,00407168-v,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc","fix, prepare, set up, ready, gear up, set"
01090246-v,remove offensive capability from,"disarm, demilitarize, demilitarise",,00572138-v,get rid of something abstract,"remove, take away"
01092746-v,be engaged in a fight; carry on a fight,"contend, fight, struggle",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01096197-v,go on a campaign; go off to war,"campaign, take the field",,01839438-v,"change location; move, travel, or proceed, also metaphorically","travel, go, move, locomote"
01102003-v,fail to win,lose,,02534046-v,be unsuccessful,"fail, go wrong, miscarry"
01102556-v,be the winner in a contest or competition; be victorious,win,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01110559-v,win a victory over,"get the better of, overcome, defeat",,01102556-v,be the winner in a contest or competition; be victorious,win
01113439-v,"obtain advantages, such as points, etc.","gain, advance, win, pull ahead, make headway, get ahead, gain ground",,02242867-v,come into possession of,obtain
01116045-v,cause a run or runner to be scored,drive in,,01649143-v,"give rise to; cause to happen or occur, not always intentionally","cause, do, make"
01116393-v,maintain a required pace or level,keep up,,02687605-v,"cause to continue in a certain state, position, or activity","keep, maintain, hold"
01118865-v,cease opposition; stop fighting,yield,,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off"
01120499-v,yield to the control of another,submit,,01118865-v,cease opposition; stop fighting,yield
01122487-v,attack someone physically or emotionally,"assail, assault, set on, attack",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01136251-v,cause to go off,"fire, discharge",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01136664-v,go off or discharge,"fire, discharge, go off",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01137797-v,release or pull the trigger on,trigger,,01612191-v,apply force so as to cause motion towards the source of the motion,pull
01151936-v,"put (a card or piece) into play during a game, or act strategically as if in a card game",play,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01156641-v,cause to get out,"retire, strike out",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01157556-v,catch up with and possibly overtake,"overtake, catch, catch up with",,01839438-v,"change location; move, travel, or proceed, also metaphorically","travel, go, move, locomote"
00109468-v,undergo a change; become different in essence; losing one's or its original nature,change,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00118572-v,keep informed,"keep up, keep abreast, follow",,02687605-v,"cause to continue in a certain state, position, or activity","keep, maintain, hold"
00122978-v,"become different in some particular way, without permanently losing one's or its former characteristics or essence","change, alter, vary",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00126072-v,cause to change; make different; cause a transformation,"change, alter, modify",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
00173351-v,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract","remove, take, take away, withdraw",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00203575-v,change the inherent purpose or function of something,"pervert, misuse, abuse",01159815-v,01160888-v,"use up, consume fully","use, expend"
00203918-v,use wrongly or improperly or excessively,abuse,01159815-v,01160888-v,"use up, consume fully","use, expend"
00224721-v,suffer spiritual death; be damned (in the religious sense),die,,02113644-v,undergo or be subjected to,"suffer, endure"
00233707-v,prevent the action or expression of,"restrain, keep, keep back, hold back",,02458316-v,keep from happening or arising; make impossible,"prevent, forestall, foreclose, preclude, forbid"
00234091-v,place limits on (extent or amount or access),"restrict, trammel, limit, bound, confine, throttle",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00258995-v,have an opening that allows light or substances to enter or go out,leak,,02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold"
00307079-v,burst and release energy as through a violent chemical or physical reaction,"detonate, explode, blow up",,00306798-v,"burst outward, usually with noise","explode, burst"
00346415-v,take the first step or steps in carrying out an action,"get down, begin, get, start out, start, set about, set out, commence",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00349400-v,"set in motion, cause to start","begin, lead off, start, commence",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
00360745-v,be survived by after one's death,"leave, leave behind",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00414801-v,take up residence and become established,"settle, locate",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00415969-v,form a community,settle,,02453050-v,create (as an entity),"form, organize, organise"
00416668-v,become established,set in,,00149403-v,enter or assume a certain state or condition,"become, go, get"
00423043-v,come into sight or view,appear,,00543200-v,"reach or enter a state, relation, condition, use, or position",come
00426024-v,"come into being or existence, or appear on the scene","appear, come along",,00109468-v,undergo a change; become different in essence; losing one's or its original nature,change
00427911-v,"get lost, as without warning or explanation","disappear, vanish, go away",,00149403-v,enter or assume a certain state or condition,"become, go, get"
00530070-v,come out of,"issue, emerge, come out, come forth, go forth, egress",,01853188-v,"move toward, travel toward something or somebody or approach something or somebody","come, come up"
00551194-v,"lay aside, abandon, or leave for another","switch, shift, change",,02232813-v,"forsake, leave behind",abandon
00555375-v,throw into disorder,disrupt,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00561324-v,prove insufficient,"fail, run out, give out",,02639962-v,be shown or be found to be,"prove, turn out, turn up"
00564177-v,"raise demand, expand the money supply, or raise prices, after a period of deflation",reflate,,00230031-v,increase the level of,"enhance, heighten, raise"
00572138-v,get rid of something abstract,"remove, take away",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00589392-v,start or maintain a fire in,"fire, light, ignite",,00349400-v,"set in motion, cause to start","begin, lead off, start, commence"
00589500-v,become ignited,"fire, flame up",,00149403-v,enter or assume a certain state or condition,"become, go, get"
01208316-v,be in direct physical contact with; make contact,"touch, adjoin, meet, contact",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01208838-v,"make physical contact with, come in contact with",touch,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01209769-v,to hold fast or prevent from moving,"trap, pin, immobilize, immobilise",,02446762-v,"take and maintain control over, often by violent means",hold
01212242-v,examine by touch,"feel, finger",,02135744-v,"observe, check out, and look over carefully or inspect","examine, see"
01214794-v,"pass over, across, or through","guide, run, draw, pass",,01839438-v,"change location; move, travel, or proceed, also metaphorically","travel, go, move, locomote"
01215710-v,to make grasping motions,snatch,,01835473-v,"move so as to change position, perform a nontranslational motion",move
01216829-v,"get into one's hands, take physically","take, get hold of",,02215637-v,come into the possession of something concrete or abstract,"get, acquire"
01219234-v,have or hold in one's hands or grip,hold,,02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold"
01219607-v,be the physical support of; carry the weight of,"hold, support, sustain, hold up",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01231088-v,become punctured or penetrated,break,,00149403-v,enter or assume a certain state or condition,"become, go, get"
01233274-v,urge on; cause to act,"prod, incite, egg on",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01240465-v,fail to reach,miss,,02534046-v,be unsuccessful,"fail, go wrong, miscarry"
01310556-v,"reduce the level of land, as by erosion",degrade,,00241924-v,reduce in size; reduce physically,"shrink, reduce"
01318273-v,"try to locate or discover, or try to establish the existence of","search, seek, look for",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01326622-v,"cause to die; put to death, usually intentionally or knowingly",kill,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01328218-v,"cause the death of, without intention",kill,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01328456-v,deprive of life,kill,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01330694-v,"cause to become accidentally or suddenly caught, ensnared, or entangled",catch,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01335412-v,provide with a covering or cause to be covered,cover,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01339317-v,put something on top of something else,"overlay, cover",,01496967-v,put into a certain place or abstract location,"put, set, place, pose, position, lay"
01342187-v,remove all or part of one's clothes to show one's body,"uncover, expose",,00173351-v,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract","remove, take, take away, withdraw"
