Synset,Children,Lemmas,Definitions,Hypernym Lemma,Hypernym ID
01838427-v,3,"stand still","remain in place; hold still; remain fixed or immobile",,
02026953-v,3,"meet, run into, encounter, run across, come across, see","come together",,
02082838-v,3,"bring in, introduce","bring in a new person or object into a familiar environment",,
01725433-v,3,"dissemble, pretend, act","behave unnaturally or affectedly",,
02172999-v,3,"blind","render unable to see",,
02156396-v,3,"watch, look out, watch out","be vigilant, be on the lookout or be careful",,
00592510-v,3,"understand, realize, realise, see","perceive (an idea or situation) mentally",,
00596016-v,3,"know, cognize, cognise","be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about",,
00611721-v,3,"forget, bury","dismiss from the mind; stop remembering",,
01151936-v,3,"play","put (a card or piece) into play during a game, or act strategically as if in a card game",,
02432181-v,2,"abolish, get rid of","do away with",,
02431242-v,2,"close up, close, fold, shut down, close down","cease to operate or cause to cease operating",,
02450790-v,2,"be, follow","work in a specific place, with a specific subject, or in a specific function",,
02622766-v,2,"exist, survive, live, subsist","support oneself",,
02736899-v,2,"persist, remain, stay","stay behind",,
02725805-v,2,"belong to, belong","be a part or adjunct",,
02717862-v,2,"depend on, devolve on, depend upon, ride, turn on, hinge on, hinge upon","be contingent on",,
02715780-v,2,"diverge","extend in a different direction",,
02767855-v,2,"snuff out, blow out, extinguish, quench","put out, as of fires, flames, or lights",,
02140736-v,2,"reflect, reverberate","to throw or bend back (from a surface)",,
01204494-v,2,"swallow, get down","pass through the esophagus as part of eating or drinking",,
01868216-v,2,"start, go, get going","begin or set in motion",,
01703755-v,2,"spell, write","write or name the letters that comprise the conventionally accepted form of (a word or part of a word)",,
00017858-v,2,"go to bed, turn in, bed, crawl in, kip down, hit the hay, hit the sack, sack out, go to sleep, retire","prepare for sleep",,
02197640-v,2,"spot, recognize, recognise, distinguish, discern, pick out, make out, tell apart","detect with the senses",,
00608800-v,2,"study","be a student; follow a course of study; be enrolled at an institute of learning",,
00612810-v,2,"remember, think back","recapture the past; indulge in memories",,
00616690-v,2,"neglect, pretermit, omit, drop, miss, leave out, overlook, overleap","leave undone or leave out",,
00645135-v,2,"analyze, analyse, break down, dissect, take apart","make a mathematical, chemical, or grammatical analysis of; break down into components or essential features",,
01089608-v,2,"arm, build up, fortify, gird","prepare oneself for a military confrontation",,
01240465-v,2,"miss","fail to reach",,
00414801-v,2,"settle, locate","take up residence and become established",,
02292634-v,2,"lose","fail to keep or to maintain; cease to have, either physically or in an abstract sense",,
00572138-v,2,"remove, take away","get rid of something abstract",,
