Lemma,Synset,Masculine
viscountess,10775594-n,viscount
viscountess,10775729-n,viscount
washerwoman,10788856-n,washerman
wench,10008583-n,NONE
widow,10799960-n,widower
witch,09526414-n,NONE
witch,10075105-n,NONE
witch,10175045-n,NONE
witch,10799781-n,NONE
yenta,10822886-n,NONE
yenta,10823067-n,NONE
yachtswoman,10821647-n,
yellow woman,80570446-n,
young lady,10149362-n,
young woman,10149362-n,
gay woman,10274662-n,
Irishwoman,09734699-n,
Scotchwoman,09750074-n,
Scotswoman,09750074-n,
saleslady,10567976-n,
saleswoman,10567976-n,
selectwoman,10596270-n,
slovenly woman,10628714-n,
sporting lady,10505025-n,
stateswoman,10671950-n,
stunt woman,10686285-n,
Betelgeuse,09242638-n,
Black woman,84388951-n,
bag lady,09851993-n,
beggarwoman,09866752-n,
berceuse,07065891-n,
bionic woman,10005508-n,
bondswoman,09884685-n,
bondswoman,09884568-n,
bondswoman,09884474-n,
bondwoman,09884568-n,
bondwoman,09884474-n,
oarswoman,10388794-n,
old lady,10395013-n,
old woman,10396720-n,
old woman,11951781-n,
outdoorswoman,10406453-n,
honest woman,10202966-n,
horsewoman,10205762-n,
jurywoman,10247948-n,
danseuse,09853980-n,
disagreeable woman,10759293-n,
pink lady,07932822-n,
point woman,10468029-n,
poseuse,10475636-n,
unmarried woman,10759169-n,
unpleasant woman,10759293-n,
fancy woman,10505025-n,
fancy woman,10343410-n,
foolish woman,10115895-n,
freedwoman,10129754-n,
freewoman,10130792-n,
frontierswoman,10133018-n,
lady,10262834-n,
lady,10008828-n,
laundrywoman,10788856-n,
leading lady,10271114-n,
lollipop lady,10290165-n,
lollipop woman,10290165-n,
loose woman,09792353-n,
Chartreuse,07925163-n,
Cornishwoman,09723328-n,
chartreuse,04975434-n,
chauffeuse,09928444-n,
clanswoman,10327942-n,
cleaning lady,09930684-n,
cleaning woman,09930684-n,
committeewoman,09963909-n,
congresswoman,09975260-n,
counterwoman,09989248-n,
vestrywoman,10768672-n,
voyeuse,92449602-n,
washwoman,10788856-n,
white woman,09662109-n,
widow woman,10799960-n,
woman,10807146-n,
woman,10808492-n,
woman,09930684-n,
woman,08494645-n,
wonder woman,10809460-n,
naked lady,12476045-n,
naked lady,12439899-n,
newspaperwoman,09986240-n,
newswoman,10541446-n,
Meuse,09376334-n,
Meuse,01289924-n,
Milady,10335040-n,
m'lady,90018501-n,
madwoman,10299661-n,
malady,14587509-n,
malady,14085287-n,
married woman,10800308-n,
masseuse,10317938-n,
Englishwoman,09721229-n,
enlisted woman,10078770-n,

