06383357-n,Arthurian legend,the legend of King Arthur and his court at Camelot
09613379-n,Bluebeard,(fairytale) a monstrous villain who marries seven women; he kills the first six for disobedience
09613669-n,"Brynhildr, Brunhild, Brunnhilde, Brynhild",a Valkyrie or a queen in the Nibelungenlied who loved the hero Siegfried; when he deceived her she had him killed and then committed suicide
09616022-n,Odysseus,(Greek mythology) a famous mythical Greek hero; his return to Ithaca after the siege of Troy was described in the Odyssey
09616590-n,Theseus,(Greek mythology) a hero and king of Athens who was noted for his many great deeds: killed Procrustes and the Minotaur and defeated the Amazons and united Attica
09616825-n,Tantalus,(Greek mythology) a wicked king and son of Zeus; condemned in Hades to stand in water that receded when he tried to drink and beneath fruit that receded when he reached for it
09617472-n,Achilles,a mythical Greek hero of the Iliad; a foremost Greek warrior at the siege of Troy; when he was a baby his mother tried to make him immortal by bathing him in a magical river but the heel by which she held him remained vulnerable — his `Achilles' heel'
09618719-n,Clytemnestra,(Greek mythology) wife of Agamemnon who had him murdered when he returned from the Trojan War
09618891-n,Aegisthus,(Greek mythology) the seducer of Clytemnestra and murderer of Agamemnon who usurped the throne of Mycenae until Agamemnon's son Orestes returned home and killed him
09619131-n,Orestes,(Greek mythology) the son of Agamemnon and Clytemnestra; his sister Electra persuaded him to avenge Agamemnon's death by killing Clytemnestra and Aegisthus
09620315-n,Laocoon,(Greek mythology) the priest of Apollo who warned the Trojans to beware of Greeks bearing gifts when they wanted to accept the Trojan Horse; a god who favored the Greeks (Poseidon or Athena) sent snakes who coiled around Laocoon and his two twin sons killing them
09620652-n,Laius,(Greek mythology) king of Thebes who was unwittingly killed by his son Oedipus
09620972-n,"Oedipus, King Oedipus, Oedipus Rex",(Greek mythology) a tragic king of Thebes who unknowingly killed his father Laius and married his mother Jocasta; the subject of the drama `Oedipus Rex' by Sophocles
09621240-n,Tiresias,(Greek mythology) the blind prophet of Thebes who revealed to Oedipus that Oedipus had murdered his father and married his mother
09622197-n,"Faust, Faustus",an alchemist of German legend who sold his soul to Mephistopheles in exchange for knowledge
09622369-n,"Victor Frankenstein, Frankenstein",the fictional Swiss scientist who was the protagonist in a gothic novel by Mary Wollstonecraft Shelley; he created a monster from parts of corpses
09622575-n,"Frankenstein, Frankenstein's monster",the monster created by Frankenstein in a gothic novel by Mary Wollstonecraft Shelley (the creator's name is commonly used to refer to his creation)
09623065-n,Hamlet,the hero of William Shakespeare's tragedy who hoped to avenge the murder of his father
09623798-n,Iago,the villain in William Shakespeare's tragedy who tricked Othello into murdering his wife
09624223-n,"Leir of Britain, Lear, King Lear",the hero of William Shakespeare's tragedy who was betrayed and mistreated by two of his scheming daughters
09624943-n,Mephistopheles,evil spirit to whom Faust sold his soul
09625432-n,Othello,the hero of William Shakespeare's tragedy who would not trust his wife
09626645-n,Rip van Winkle,the title character in a story by Washington Irving about a man who sleeps for 20 years and doesn't recognize the world when he wakens
09627880-n,"Sinbad the Sailor, Sinbad",in the Arabian Nights a hero who tells of the fantastic adventures he had in his voyages
09634914-n,constituent,a member of a constituency; a citizen who is represented in a government by officials for whom he or she votes
09746665-n,Inca,a ruler of the Incas (or a member of his family)
09791871-n,"adoptive parent, adopter",a person who adopts a child of other parents as his or her own child
09793105-n,"adverse witness, hostile witness",a witness whose relationship to the opposing party is such that his or her testimony may be prejudiced against the opposing party
09812936-n,"anesthesiologist, anesthetist, anaesthetist",a specialist who administers an anesthetic to a patient before he is treated
09818234-n,Apostle,(New Testament) one of the original 12 disciples chosen by Christ to preach his gospel
09820054-n,"apple polisher, bootlicker, fawner, groveller, groveler, truckler",someone who humbles himself as a sign of respect; who behaves as if he had no self-respect
09822064-n,appropriator,someone who takes for his or her own use (especially without permission)
09829769-n,arrogator,a person who through conceit makes pretentious claims to rights or advantages that he or she is not entitled to or to qualities that he or she does not possess
09843329-n,auteur,a filmmaker who has a personal style and keeps creative control over his or her works
09844815-n,autodidact,a person who has taught himself
09853111-n,balancer,an acrobat who balances himself in difficult positions
09864809-n,beard,a person who diverts suspicion from someone (especially a woman who accompanies a male homosexual in order to conceal his homosexuality)
09873051-n,bigot,a prejudiced person who is intolerant of any opinions differing from his own
09880059-n,blood brother,a male sworn (usually by a ceremony involving the mingling of blood) to treat another as his brother
09889614-n,"boxer, pugilist",someone who fights with his fists for sport
09892462-n,"brainworker, brain-worker",someone whose profession involves using his head to solve problems
09895618-n,broker-dealer,a financial specialist who trades for his own account and so acts both as a broker and principal
09897417-n,"buddy, brother, chum, crony, pal, sidekick",a close friend who accompanies his buddies in their activities
09902499-n,business traveler,a traveler whose expenses are paid by the business he works for
09904267-n,butter,a fighter who strikes the opponent with his head
09914674-n,careerist,a professional who is intent on furthering his or her career by any possible means and often at the expense of their own integrity
09916622-n,carpet knight,a knight who spends his time in luxury and idleness (knighted on the carpet at court rather than on the field of battle)
09916802-n,"carrier, immune carrier",(medicine) a person (or animal) who has some pathogen to which he is immune but who can pass it on to others
09918249-n,Casanova,any man noted for his amorous adventures
09929542-n,charge of quarters,an enlisted man who handles his unit's administrative matters after hours
09931533-n,chauvinist,a person with a prejudiced belief in the superiority of his or her own kind
09950086-n,closet queen,a negative term for a homosexual man who chooses not to reveal his sexual orientation
09974358-n,"confidence man, con man, con artist",a swindler who exploits the confidence of his victim
09984954-n,cordon bleu,a chef famous for his great skill
09988905-n,count palatine,a count who exercised royal authority in his own domain
09993020-n,"coxcomb, cockscomb",a conceited dandy who is overly impressed by his own accomplishments
09997050-n,crier,a peddler who shouts to advertise the goods he sells
10010564-n,"dandy, dude, fop, gallant, sheik, beau, swell, fashion plate, clotheshorse",a man who is much concerned with his dress and appearance
10015687-n,deadbeat dad,a father who willfully defaults on his obligation to provide financial support for his offspring
10015842-n,deadhead,a nonenterprising person who is not paying his way
10024942-n,"deputy, lieutenant",an assistant with power to act when his superior is absent
10026763-n,"deserter, apostate, renegade, turncoat, recreant, ratter",a disloyal person who betrays or deserts his cause or religion or political party or friend etc.
10046830-n,dotard,an oldster in his dotage; someone whose age has impaired his intellect
10049710-n,"redcoat, lobsterback",British soldier; so-called because of his red coat (especially during the American Revolution)
10071145-n,"embezzler, defalcator, peculator",someone who violates a trust by taking (money) for his own use
10077079-n,"endorser, indorser",a person who transfers his ownership interest in something by signing a check or negotiable security
10088735-n,Excellency,a title used to address dignitaries (such as ambassadors or governors); usually preceded by `Your' or `His' or `Her'
10092134-n,expert witness,a witness who has knowledge not normally possessed by the average person concerning the topic that he is to testify about
10097174-n,family man,a man whose family is of major importance in his life
10102331-n,favorite son,a United States politician favored mainly in his or her home state
10107637-n,"filibuster, filibusterer",a legislator who gives long speeches in an effort to delay or obstruct legislation that he (or she) opposes
10107870-n,filicide,a parent who murders his own son or daughter
10114089-n,flagellant,a person who whips himself as a religious penance
10114213-n,flagellant,a person who is whipped or whips himself for sexual gratification
10116923-n,floor leader,the legislator who organizes his party's strategy
10131898-n,"monk, monastic",a male religious living in a cloister and devoting himself to contemplation and prayer and work
10151183-n,giver,someone who devotes himself completely
10152827-n,god,a man of such superior qualities that he seems like a deity to other people
10154147-n,godfather,someone having a relation analogous to that of a male sponsor to his godchild
10155666-n,goldbrick,a soldier who performs his duties without proper care or effort
10155803-n,gold digger,a woman who associates with or marries a rich man in order to get valuables from him through gifts or a divorce settlement
10157992-n,"good old boy, good ole boy, good ol' boy",a white male Southerner with an unpretentious convivial manner and conservative or intolerant attitudes and a strong sense of fellowship with and loyalty to other members of his peer group
10163858-n,"grass widower, divorced man",a man who is divorced from (or separated from) his wife
10167555-n,"groom, bridegroom",a man participant in his own marriage ceremony
10176576-n,halberdier,a guard who carries a halberd (as a symbol of his duty)
10192613-n,antihero,a protagonist who lacks the characteristics that would make him a hero (or her a heroine)
10194721-n,Highness,(Your Highness or His Highness or Her Highness) title used to address a royal person
10199542-n,"holder, bearer",the person who is in possession of a check or note or bond or document of title that is endorsed to him or to whoever holds it
10200422-n,"holdover, hangover",an official who remains in office after his term
10203175-n,honker,a driver who causes his car's horn to make a loud honking sound
10206749-n,host,a person who invites guests to a social event (such as a party in his or her own home) and who is responsible for them while they are there
10207329-n,"hotdog, hot dog",someone who performs dangerous stunts to attract attention to himself
10208195-n,"house husband, househusband",a husband who keeps house while his wife earns the family income
10215212-n,"hypocrite, dissembler, dissimulator, phony, phoney, pretender",a person who professes beliefs and opinions that he or she does not hold in order to conceal his or her real feelings or motives
10223301-n,Indian giver,an offensive term for someone who asks you to return a present he has given you
10227300-n,"inpatient, inmate",a patient who is residing in the hospital where he is being treated
10229489-n,"insured, insured person",a person whose interests are protected by an insurance policy; a person who contracts for an insurance policy that indemnifies him against loss of property or life or health etc.
10237962-n,Jacksonian,a follower of Andrew Jackson or his ideas
10238060-n,Jacob,"(Old Testament) son of Isaac; brother of Esau; father of the twelve patriarchs of Israel; Jacob wrestled with God and forced God to bless him, so God gave Jacob the new name of Israel (meaning `one who has been strong against God')"
10238659-n,Jacobite,a supporter of James II after he was overthrown or a supporter of the Stuarts
10240477-n,Jeffersonian,a follower of Thomas Jefferson or his ideas and principles
10244116-n,"jonah, jinx",a person believed to bring bad luck to those around him
10247160-n,"Junior, Jr, Jnr",a son who has the same first name as his father
10259932-n,"know-it-all, know-all",someone who thinks he knows everything and refuses to accept advice or information from others
10270822-n,"Lazarus of Bethany, Lazarus",the person who Jesus raised from the dead after four days in the tomb; this miracle caused the enemies of Jesus to begin the plan to put him to death
10287134-n,Little John,legendary follower of Robin Hood; noted for his size and strength
10293366-n,Lot,(Old Testament) nephew of Abraham; God destroyed Sodom and Gomorrah but chose to spare Lot and his family who were told to flee without looking back at the destruction
10293603-n,Lot's wife,"(Old Testament) when God destroyed Sodom and Gomorrah, Lot and his family were told to flee without looking back; Lot's wife was disobedient and was immediately changed into a pillar of salt"
10293870-n,Lothario,a successful womanizer; a man who behaves selfishly in his sexual relationships with women
10294171-n,"lounge lizard, lizard",a man who idles about in the lounges of hotels and bars in search of women who would support him
10330314-n,mesne lord,a feudal lord who was lord to his own tenants on land held from a superior lord
10353152-n,"mother's boy, mamma's boy, mama's boy",a boy excessively attached to his mother; lacking normal masculine interests
10357502-n,mujahid,a Muslim engaged in what he considers to be a jihad
10363735-n,nabob,a wealthy man (especially one who made his fortune in the Orient)
10364387-n,name dropper,someone who pretends that famous people are his/her friends
10380065-n,noncandidate,someone who has announced they are not a candidate; especially a politician who has announced that he or she is not a candidate for some political office
10402793-n,organization man,an employee who sacrifices his own individuality for the good of an organization
10407535-n,outlier,a person who lives away from his place of work
10407635-n,outpatient,a patient who does not reside in the hospital where he is being treated
10409459-n,owner-driver,a motorist who owns the car that he/she drives
10409564-n,owner-occupier,an occupant who owns the home that he/she lives in
10413840-n,"palatine, palsgrave",(Middle Ages) the lord of a palatinate who exercised sovereign powers over his lands
10420903-n,parricide,someone who kills his or her parent
10424555-n,passive source,an informant who is not assigned to obtain specific intelligence but who routinely passes on whatever information he or she has
10427055-n,"patriot, nationalist",one who loves and defends his or her country
10430185-n,peanut,a young child who is small for his age
10431296-n,"peddler, pedlar, packman, hawker, pitchman",someone who travels about selling his wares (as on the streets or at carnivals)
10437588-n,persona grata,a diplomat who is acceptable to the government to which he is sent
10437714-n,persona non grata,a diplomat who is unacceptable to the government to which he is sent
10453818-n,pinchgut,a niggardly person who starves himself (and others)
10457029-n,"plagiarist, plagiarizer, plagiariser, literary pirate, pirate",someone who uses another person's words or ideas as if they were his own
10461536-n,plenipotentiary,a diplomat who is fully authorized to represent his or her government
10472308-n,ponce,a man who is effeminate in his manner and fussy in the way he dresses
10475481-n,"poseur, poser",a person who habitually pretends to be something he is not
10493038-n,prince charming,a suitor who fulfills the dreams of his beloved
10494031-n,"principal, dealer",the major party to a financial transaction at a stock exchange; buys and sells for his own account
10512032-n,puller,someone who applies force so as to cause motion toward herself or himself
10515341-n,"pusher, thruster",one who intrudes or pushes himself forward
10525052-n,rainmaker,executive who is very successful in bringing in business to his company or firm
10527376-n,"Rodion Romanovich Raskolnikov, Raskolnikov, Rodya Raskolnikov",a fictional character in Dostoevsky's novel `Crime and Punishment'; he kills old women because he believes he is beyond the bounds of good or evil
10542669-n,"research worker, researcher, investigator",a scientist who devotes himself to doing research
10561695-n,Rumpelstiltskin,a dwarf in one of the fairy stories of the brothers Grimm; tells a woman he will not hold her to a promise if she can guess his name and when she discovers it he is so furious that he destroys himself
10569482-n,sandbagger,someone who deceives you about his true nature or intent in order to take advantage of you
10570508-n,"Tristan, Tristram",(Middle Ages) the nephew of the king of Cornwall who (according to legend) fell in love with his uncle's bride (Iseult) after they mistakenly drank a love potion that left them eternally in love with each other
10606406-n,Shavian,an admirer of G. B. Shaw or his works
10617421-n,signore,an Italian title of respect for a man; equivalent to the English `sir'; used separately (not prefixed to his name)
10627901-n,"slacker, shirker",a person who shirks his work or duty (especially one who tries to evade military service in wartime)
10654388-n,spellbinder,an orator who can hold his listeners spellbound
10655186-n,sphinx,an inscrutable person who keeps his thoughts and intentions secret
10658445-n,sport,a person known for the way she (or he) behaves when teased or defeated or subjected to trying circumstances
10679201-n,stooper,a person who carries himself or herself with the head and shoulders habitually bent forward
10682391-n,"street urchin, guttersnipe",a child who spends most of his time in the streets especially in slum areas
10693108-n,"suicide, felo-de-se",a person who kills himself intentionally
10693215-n,suicide bomber,a terrorist who blows himself up in order to kill or injure other people
10701338-n,Svengali,someone (usually maleficent) who tries to persuade or force another person to do his bidding
10701616-n,"swagman, swagger, swaggie",an itinerant Australian laborer who carries his personal belongings in a bundle as he travels around in search of work
10718145-n,"Tell, William Tell",a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap)
10733966-n,"Todd, Sweeney Todd",fictional character in a play by George Pitt; a barber who murdered his customers
10734860-n,Tom Thumb,an imaginary hero of English folklore who was no taller than his father's thumb
10742614-n,"traitor, treasonist",someone who betrays his country by committing treason
10763735-n,uxoricide,a husband who murders his wife
10765000-n,"valet, valet de chambre, gentleman, gentleman's gentleman, man",a manservant who acts as a personal attendant to his employer
10765281-n,valetudinarian,weak or sickly person especially one morbidly concerned with his or her health
10771453-n,"viceroy, vicereine",governor of a country or province who rules as the representative of his or her king or sovereign
10783796-n,walk-in,an operative who initiates his own defection (usually to a hostile country) for political asylum
10785103-n,Walter Mitty,fictional character created by James Thurber who daydreams about his adventures and triumphs
10802308-n,wingman,the pilot who positions his aircraft outside and behind (on the wing of) the leader of a flying formation
10803557-n,wire-puller,one who uses secret influence (i.e. pulls wires or strings) for his own ends
10804598-n,withdrawer,a student who withdraws from the educational institution in which he or she was enrolled
10806431-n,wittol,an archaic term for a cuckold who knows about his wife's infidelity but tolerates it
10823190-n,yeoman,in former times was free and cultivated his own land
10827091-n,"Abraham, Ibrahim","the first of the Old Testament patriarchs and the father of Isaac; according to Genesis, God promised to give Abraham's family (the Hebrews) the land of Canaan (the Promised Land); God tested Abraham by asking him to sacrifice his son"
10830001-n,Ahab,according to the Old Testament he was a pagan king of Israel and husband of Jezebel (9th century BC)
10830275-n,"Ailey, Alvin Ailey",United States choreographer noted for his use of African elements (born in 1931)
10833417-n,"Al-Hakim bi-Amr Allah, Al-hakim",an Ismaili caliph of Egypt who declared himself an incarnation of God and founded the Druze religious sect (985-1021)
10833932-n,Ali,the fourth caliph of Islam who is considered to be the first caliph by Shiites; he was a cousin and son-in-law of Muhammad; after his assassination Islam was divided into Shiite and Sunnite sects
10836706-n,"Andersen, Hans Christian Andersen",a Danish author remembered for his fairy stories (1805-1875)
10838319-n,"Anouilh, Jean Anouilh",French dramatist noted for his reinterpretations of Greek myths (1910-1987)
10838464-n,"Anselm of Canterbury, Anselm, Saint Anselm, St. Anselm",an Italian who was a Benedictine monk; was archbishop of Canterbury from 1093 to 1109; one of the founders of scholasticism; best known for his proof of the existence of God
10839767-n,"Antony, Anthony, Mark Antony, Mark Anthony, Antonius, Marcus Antonius",Roman general under Julius Caesar in the Gallic wars; repudiated his wife for the Egyptian queen Cleopatra; they were defeated by Octavian at Actium (83-30 BC)
10840217-n,"Appleton, Edward Appleton, Sir Edward Victor Appleton",English physicist remembered for his studies of the ionosphere (1892-1966)
10840394-n,"Aquinas, Thomas Aquinas, Saint Thomas, St. Thomas, Saint Thomas Aquinas, St. Thomas Aquinas",(Roman Catholic Church) Italian theologian and Doctor of the Church who is remembered for his attempt to reconcile faith and reason in a comprehensive theology; presented philosophical proofs of the existence of God (1225-1274)
10841118-n,Archimedes,Greek mathematician and physicist noted for his work in hydrostatics and mechanics and geometry (287-212 BC)
10841471-n,"Aristarchus of Samothrace, Aristarchus",an ancient Greek grammarian remembered for his commentary on the Iliad and Odyssey (circa 217-145 BC)
10841815-n,Aristophanes,an ancient Greek dramatist remembered for his comedies (448-380 BC)
10842171-n,Arius,a Greek who was a Christian theologian active in Alexandria and who was declared a heretic for his doctrines about God (which came to be known as Arianism) (256?-336)
10843133-n,"Arnold, Benedict Arnold",United States general and traitor in the American Revolution; in 1780 his plan to surrender West Point to the British was foiled (1741-1801)
10843956-n,"Svante Arrhenius, Arrhenius, Svante August Arrhenius",Swedish chemist and physicist noted for his theory of chemical dissociation (1859-1927)
10845808-n,"Asimov, Isaac Asimov",United States writer (born in Russia) noted for his science fiction (1920-1992)
10845956-n,"Astaire, Fred Astaire",United States dancer and cinema actor noted for his original and graceful tap dancing (1899-1987)
10847117-n,Athelstan,the first Saxon ruler who extended his kingdom to include nearly all of England (895-939)
10847972-n,"Audubon, John James Audubon",United States ornithologist and artist (born in Haiti) noted for his paintings of birds of America (1785-1851)
10848177-n,"Augustine, Saint Augustine, St. Augustine, Augustine of Hippo",(Roman Catholic Church) one of the great Fathers of the early Christian church; after a dramatic conversion to Christianity he became bishop of Hippo Regius in North Africa; St. Augustine emphasized man's need for grace (354-430)
10849337-n,"Avicenna, ibn-Sina, Abu Ali al-Husain ibn Abdallah ibn Sina",Persian physician and influential philosopher; his interpretation of Aristotle influenced St. Thomas Aquinas; writings on medicine were important for almost 500 years (980-1037)
10849642-n,"Avogadro, Amedeo Avogadro",Italian physicist noted for his work on gases; proposed what has come to be called Avogadro's law (1776-1856)
10850732-n,"Bailey, Nathan Bailey, Nathaniel Bailey",English lexicographer who was the first to treat etymology consistently; his work was used as a reference by Samuel Johnson (died in 1742)
10851252-n,"Balanchine, George Balanchine",United States dancer and choreographer (born in Russia) noted for his abstract and formal works (1904-1983)
10852011-n,"Balenciaga, Cristobal Balenciaga",Spanish fashion designer known for his stark elegant designs (1895-1972)
10852707-n,"Balzac, Honore Balzac, Honore de Balzac",French novelist; he portrays the complexity of 19th century French society (1799-1850)
10853021-n,"Banks, Sir Joseph Banks",English botanist who accompanied Captain Cook on his first voyage to the Pacific Ocean (1743-1820)
10856854-n,"Bartok, Bela Bartok",Hungarian composer and pianist who collected Hungarian folk music; in 1940 he moved to the United States (1881-1945)
10859065-n,"Beaumont, William Beaumont",United States surgeon remembered for his studies of digestion (1785-1853)
10859617-n,"Thomas Becket, Becket, Thomas a Becket, Saint Thomas a Becket, St. Thomas a Becket",(Roman Catholic Church) archbishop of Canterbury from 1162 to 1170; murdered following his opposition to Henry II's attempts to control the clergy (1118-1170)
10861001-n,"Beethoven, van Beethoven, Ludwig van Beethoven",German composer of instrumental music (especially symphonic and chamber music); continued to compose after he lost his hearing (1770-1827)
10861476-n,"Behrens, Peter Behrens",German architect known for his simple utilitarian factory buildings (1868-1940)
10861626-n,Belisarius,Byzantine general under Justinian I; he recovered former Roman territories in northern Africa and fought against the Persians
10862631-n,"Belloc, Hilaire Belloc, Joseph Hilaire Peter Belloc",English author (born in France) remembered especially for his verse for children (1870-1953)
10863021-n,Belshazzar,(Old Testament) Babylonian general and son of Nebuchadnezzar II; according to the Old Testament he was warned of his doom by divine handwriting on the wall that was interpreted by Daniel (6th century BC)
10865020-n,"Benny, Jack Benny, Benjamin Kubelsky",United States comedian known for his timing and delivery and self-effacing humor (1894-1974)
10866289-n,"Lavrentiy Beria, Beria, Lavrenti Pavlovich Beria",Soviet chief of secret police under Joseph Stalin; was executed by his associates in the power struggle following Stalin's death (1899-1953)
10870878-n,"Binet, Alfred Binet",French psychologist remembered for his studies of the intellectual development of children (1857-1911)
10871461-n,"Bizet, Georges Bizet",French composer best known for his operas (1838-1875)
10872557-n,"Bligh, William Bligh, Captain Bligh","British admiral; was captain of the H.M.S. Bounty in 1789 when part of the crew mutinied and set him afloat in an open boat; a few weeks later he arrived safely in Timor 4,000 miles away (1754-1817)"
10873528-n,"Blucher, von Blucher, G. L. von Blucher, Gebhard Leberecht von Blucher",Prussian general who is remembered for his leadership in the wars against Napoleon (1742-1819)
10875583-n,"Bond, Julian Bond",United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)
10875811-n,"Bonhoeffer, Dietrich Bonhoeffer","German Lutheran theologian and pastor whose works concern Christianity in the modern world; an active opponent of Nazism, he was arrested and sent to Buchenwald and later executed (1906-1945)"
10877293-n,"Borges, Jorge Borges, Jorge Luis Borges",Argentinian writer remembered for his short stories (1899-1986)
10877760-n,"Born, Max Born",British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970)
10878468-n,"Boswell, James Boswell",Scottish author noted for his biography of Samuel Johnson (1740-1795)
10879081-n,"Bowditch, Nathaniel Bowditch",United States mathematician and astronomer noted for his works on navigation (1773-1838)
10879453-n,"Bowie, Jim Bowie, James Bowie",United States pioneer and hero of the Texas revolt against Mexico; he shared command of the garrison that resisted the Mexican attack on the Alamo where he died (1796-1836)
10880925-n,"Brady, James Buchanan Brady, Diamond Jim Brady, Diamond Jim",United States financier noted for his love of diamonds and his extravagant lifestyle (1856-1917)
10881131-n,"Mathew Brady, Brady, Mathew B. Brady",United States pioneer photographer famous for his portraits; was the official Union photographer for the American Civil War (1823-1896)
10881877-n,"Braille, Louis Braille",French educator who lost his sight at the age of three and who invented a system of writing and printing for sightless people (1809-1852)
10882720-n,"Braun, von Braun, Wernher von Braun, Wernher Magnus Maximilian von Braun",United States rocket engineer (born in Germany where he designed a missile used against England); he led the United States Army team that put the first American satellite into space (1912-1977)
10884231-n,"Britten, Benjamin Britten, Edward Benjamin Britten, Lord Britten of Aldeburgh",major English composer of the 20th century; noted for his operas (1913-1976)
10884454-n,"Broca, Pierre-Paul Broca",French anthropologist who studied the craniums and brains of different people; remembered for his discovery that articulate speech depends on an area of the brain now known as Broca's area (1824-1880)
10886651-n,"Browning, Robert Browning",English poet and husband of Elizabeth Barrett Browning noted for his dramatic monologues (1812-1889)
10889270-n,"Buber, Martin Buber",Israeli religious philosopher (born in Austria); as a Zionist he promoted understanding between Jews and Arabs; his writings affected Christian thinkers as well as Jews (1878-1965)
10891011-n,"Bunsen, Robert Bunsen, Robert Wilhelm Bunsen",German chemist who with Kirchhoff pioneered spectrum analysis but is remembered mainly for his invention of the Bunsen burner (1811-1899)
10892646-n,"Burke, Edmund Burke",British statesman famous for his oratory; pleaded the cause of the American colonists in British Parliament and defended the parliamentary system (1729-1797)
10893749-n,"Burr, Aaron Burr",United States politician who served as vice president under Jefferson; he mortally wounded his political rival Alexander Hamilton in a duel and fled south (1756-1836)
10894293-n,"Burroughs, William Burroughs, William S. Burroughs, William Seward Burroughs",United States writer noted for his works portraying the life of drug addicts (1914-1997)
10895912-n,"Bushnell, David Bushnell, Father of the Submarine",American inventor who in 1775 designed a man-propelled submarine that was ineffectual but subsequently earned him recognition as a submarine pioneer (1742-1824)
10896265-n,"Butler, Samuel Butler",English novelist who described a fictitious land he called Erewhon (1835-1902)
10897005-n,"Lord Byron, Byron, Lord George Gordon Byron, Sixth Baron Byron of Rochdale",English romantic poet notorious for his rebellious and unconventional lifestyle (1788-1824)
10897593-n,"Cabot, Sebastian Cabot",son of John Cabot who was born in Italy and who led an English expedition in search of the Northwest Passage and a Spanish expedition that explored the La Plata region of Brazil; in 1544 he published a map of the world (1476-1557)
10898596-n,"Cagney, Jimmy Cagney, James Cagney",United States film actor known for his portrayals of tough characters (1899-1986)
10899303-n,"Caligula, Gaius, Gaius Caesar",Roman Emperor who succeeded Tiberius and whose uncontrolled passions resulted in manifest insanity; noted for his cruelty and tyranny; was assassinated (12-41)
10901134-n,"Cnut the Great, Canute, Cnut, Knut, Canute the Great","king of Denmark and Norway who forced Edmund II to divide England with him; on the death of Edmund II, Canute became king of all England (994-1035)"
10901841-n,"Caravaggio, Michelangelo Merisi da Caravaggio",Italian painter noted for his realistic depiction of religious subjects and his novel use of light (1571-1610)
10903623-n,"Carrere, John Merven Carrere",United States architect who with his partner Thomas Hastings designed many important public buildings (1858-1911)
10903813-n,"Carroll, Lewis Carroll, Dodgson, Reverend Dodgson, Charles Dodgson, Charles Lutwidge Dodgson",English author; Charles Dodgson was an Oxford don of mathematics who is remembered for the children's stories he wrote under the pen name Lewis Carroll (1832-1898)
10905583-n,"Casals, Pablo Casals",an outstanding Spanish cellist noted for his interpretation of Bach's cello suites (1876-1973)
10905746-n,"Giacomo Casanova, Casanova, Giovanni Jacopo Casanova, Casanova de Seingalt, Giovanni Jacopo Casanova de Seingalt",an Italian adventurer who wrote vivid accounts of his sexual encounters (1725-1798)
10907733-n,"Catullus, Gaius Valerius Catullus",Roman lyric poet remembered for his love poems to an aristocratic Roman woman (84-54 BC)
10909285-n,"Chagall, Marc Chagall",French painter (born in Russia) noted for his imagery and brilliant colors (1887-1985)
10910620-n,"Chapman, John Chapman, Johnny Appleseed",United States pioneer who planted apple trees as he traveled (1774-1845)
10912699-n,"Charles, Charles II, Charles I, Charles the Bald",as Charles II he was Holy Roman Emperor and as Charles I he was king of France (823-877)
10912905-n,"Charles VII of France, Charles, Charles VII",King of France who began his reign with most of northern France under English control; after the intervention of Jeanne d'Arc the French were able to defeat the English and end the Hundred Years' War (1403-1461)
10913185-n,"Charles IX of France, Charles, Charles IX",King of France from 1560 to 1574 whose reign was dominated by his mother Catherine de Medicis (1550-1574)
10914825-n,"Philip Stanhope, Chesterfield, Fourth Earl of Chesterfield, Philip Dormer Stanhope",suave and witty English statesman remembered mostly for letters to his son (1694-1773)
10915026-n,"Chesterton, G. K. Chesterton, Gilbert Keith Chesterton",conservative English writer of the Roman Catholic persuasion; in addition to volumes of criticism and polemics he wrote detective novels featuring Father Brown (1874-1936)
10915440-n,"Chiang Kai-shek, Chiang Chung-cheng",Chinese military and political figure; in the Chinese civil war that followed World War II he was defeated by the Chinese communists and in 1949 was forced to withdraw to Taiwan where he served as president of Nationalist China until his death (1897-1975)
10915798-n,"Chippendale, Thomas Chippendale",a British cabinetmaker remembered for his graceful designs (especially of chairs) which influenced his contemporaries (1718-1779)
10917698-n,"Cicero, Marcus Tullius Cicero, Tully",a Roman statesman and orator remembered for his mastery of Latin prose (106-43 BC)
10918060-n,"Cincinnatus, Lucius Quinctius Cincinnatus",Roman statesman regarded as a model of simple virtue; he twice was called to assume dictatorship of Rome and each time retired to his farm (519-430 BC)
10919166-n,"Claudius, Claudius I, Tiberius Claudius Drusus Nero Germanicus",Roman Emperor after his nephew Caligula was murdered; consolidated the Roman Empire and conquered southern Britain; was poisoned by his fourth wife Agrippina after her son Nero was named as Claudius' heir (10 BC to AD 54)
10920482-n,"Clemens, Samuel Langhorne Clemens, Mark Twain",United States writer and humorist best known for his novels about Tom Sawyer and Huckleberry Finn (1835-1910)
10922924-n,"Clovis, Clovis I",king of the Franks who unified Gaul and established his capital at Paris and founded the Frankish monarchy; his name was rendered as Gallic `Louis' (466-511)
10924022-n,"Cody, William F. Cody, William Frederick Cody, Buffalo Bill, Buffalo Bill Cody",United States showman famous for his Wild West Show (1846-1917)
10924215-n,"Cohan, George M. Cohan, George Michael Cohan",United States songwriter and playwright famous for his patriotic songs (1878-1942)
