06383357-n,Arthurian legend,the legend of King Arthur and his court at Camelot
00580601-n,service,(law) the acts performed by an English feudal tenant for the benefit of his lord which formed the consideration for the property granted to him
00622566-n,corvee,unpaid labor (as for the maintenance of roads) required by a lord of his vassals in lieu of taxes
00727818-n,"quarterback, signal caller, field general",(American football) the position of the football player in the backfield who directs the offensive play of his team
00774891-n,"rape, violation, assault, ravishment",the crime of forcing a person to submit to sexual intercourse against his or her will
00815636-n,hammerlock,a wrestling hold in which the opponent's arm is twisted up behind his back
00815935-n,Japanese stranglehold,a wrestling hold in which the opponent's arms are crossed in front of his own neck to exert pressure on his windpipe
00843188-n,Dutch treat,a dinner where each person pays for his own
00848447-n,penetration,the act (by a man) of inserting his penis into the vagina of a woman
00912231-n,"lip synchronization, lip synchronisation, lip synch, lip sync",combining audio and video recording in such a way that the sound is perfectly synchronized with the action that produced it; especially synchronizing the movements of a speaker's lips with the sound of his speech
00972183-n,Sixth Crusade,a Crusade from 1228 to 1229 led by the Holy Roman Emperor Frederick II who fell ill and was excommunicated by the Pope; by negotiation Frederick II was able to crown himself king of Jerusalem
00974423-n,amphibious demonstration,an amphibious operation conducted for the purpose of deceiving the enemy and leading him into a course of action unfavorable to him
00987602-n,reconnaissance by fire,a method of reconnaissance in which fire is placed on a suspected enemy position in order to cause the enemy to disclose his presence by moving or returning fire
01033424-n,"Berith, Berit, Brith, Bris, Briss",the Jewish rite of circumcision performed on a male child on the eighth day of his life
01037536-n,"Last Supper, Lord's Supper",the traditional Passover supper of Jesus with his disciples on the eve of his crucifixion
01041339-n,confession,(Roman Catholic Church) the act of a penitent disclosing his sinfulness before a priest in the sacrament of penance in the hope of absolution
01045365-n,"Stations, Stations of the Cross",(Roman Catholic Church) a devotion consisting of fourteen prayers said before a series of fourteen pictures or carvings representing successive incidents during Jesus' passage from Pilate's house to his crucifixion at Calvary
01047337-n,lordolatry,the worship of a lord because of his rank or title
01078787-n,nuclear deterrence,the military doctrine that an enemy will be deterred from using nuclear weapons as long as he can be destroyed as a consequence
01191273-n,"non prosequitur, non pros","a judgment entered in favor of the defendant when the plaintiff has not continued his action (e.g., has not appeared in court)"
01200558-n,double jeopardy,the prosecution of a defendant for a criminal offense for which he has already been tried; prohibited in the fifth amendment to the United States Constitution
01201240-n,"defense, defence, denial, demurrer",a defendant's answer or plea denying the truth of the charges against him
01273353-n,"Battle of Karbala, Battle of Kerbala",a battle in 680 in which the grandson of Mohammed and his followers were killed
01274627-n,"Battle of Borodino, Borodino","Napoleon defeated the Russians in 1812 in a pitched battle at a village in western Russia west of Moscow, but irreparably weakened his army"
01275075-n,Bouvines,in 1214 the French under Philip Augustus defeated a coalition formed against him in one of the greatest battles of the middle ages
01279368-n,"Cunaxa, battle of Cunaxa",battle in 401 BC when the Artaxerxes II defeated his younger brother who tried to usurp the throne
01279558-n,"Cynoscephalae, battle of Cynoscephalae",the battle that ended the second Macedonian War (197 BC); the Romans defeated Philip V who lost his control of Greece
01282359-n,"Battle of the Granicus, Granicus, Battle of Granicus River",the battle in which Alexander won his first major victory against the Persians (334 BC)
01286937-n,"Little Bighorn, Battle of Little Bighorn, Battle of the Little Bighorn, Custer's Last Stand",a battle in Montana near the Little Bighorn River between United States cavalry under Custer and several groups of Native Americans (1876); Custer was pursuing Sioux led by Sitting Bull; Custer underestimated the size of the Sioux forces (which were supported by Cheyenne warriors) and was killed along with all his command
01313280-n,War of the Spanish Succession,a general war in Europe (1701-1714) that broke out when Louis XIV installed his grandson on the throne of Spain; England and Holland hoped to limit Louis' power
00897728-s,self-balancing,of someone or something that balances himself or itself
01375495-s,"benignant, gracious",characterized by kindness and warm courtesy especially of a king to his subjects
01771841-a,personal,concerning or affecting a particular person or his or her private life and personality
02107311-s,"elder, older, sr.",used of the older of two persons of the same name especially used to distinguish a father from his son
02108662-s,"younger, jr., Junior",used of the younger of two persons of the same name especially used to distinguish a son from his father
81879322-a,metrosexual,"a heterosexual man that is particularly interested in his appearance, being well-groomed and fashion"
09455689-n,Sherwood Forest,an ancient forest in central England; formerly a royal hunting ground; said to be the home of Robin Hood and his merry band
15211706-n,"Groundhog Day, February 2","if the ground hog emerges and sees his shadow on this day, there will be 6 more weeks of winter"
15322546-n,probation,a trial period during which an offender has time to redeem himself or herself
92440807-n,paternity leave,A paternity leave is a parental leave that a father can take after the birth of his child.
00594278-v,"acknowledge, recognize, recognise, know",accept (someone) to be what is claimed or accept his power and authority
00665812-v,card,ask someone for identification to determine whether he or she is old enough to consume liquor
04812863-n,papal infallibility,belief of the Roman Catholic Church that God protects the pope from error when he speaks about faith or morality
05187365-n,attorney-client privilege,the right of a lawyer to refuse to divulge confidential information from his client
05192538-n,right to speedy and public trial by jury,"a civil right guaranteed by the 6th amendment to the US Constitution, requiring that the government provide a quick and public trial for the accused and produce an impartial jury to try him with"
05192712-n,right to an attorney,"a civil right guaranteed by the 6th amendment to the US Constitution, requiring that the government appoint a lawyer for the defendant and/or pay the defendant's legal fees in case he cannot afford a lawyer"
02644883-a,apophatic,of or relating to the belief that God can be known to humans only in terms of what He is not (such as `God is unknowable')
02649953-a,archducal,belonging to or befitting an archduke or his archduchy
02650423-a,archidiaconal,of or relating to an archdeacon or his office
02743542-a,Galilean,of or relating to Galileo or his works
02763006-a,Jamesian,of or relating to or characteristic of Henry James or his writing
02763126-a,Jamesian,of or relating to or characteristic of William James or his philosophy or his teachings
02763268-a,Jeffersonian,relating to or characteristic of Thomas Jefferson or his principles or theories
02772458-a,Procrustean,of or relating to the mythical giant Procrustes or the mode of torture practiced by him
02779622-a,Noachian,of or relating to Noah or his time
02782823-a,Orwellian,of or relating to the works of George Orwell (especially his picture of a future totalitarian state)
02786125-a,Pauline,relating to Paul the Apostle or his doctrines
02791486-a,Platonic,of or relating to or characteristic of Plato or his philosophy
02813299-a,Stalinist,of or relating to Joseph Stalin or his times
02872572-a,palatine,of or relating to a count palatine and his royal prerogatives
02938021-a,Zoroastrian,of or pertaining to Zoroaster or the religion he founded
03038272-a,Cartesian,of or relating to Rene Descartes or his works
03038727-a,Shavian,of or relating to George Bernard Shaw or his works
03038849-a,"Shakespearian, Shakespearean",of or relating to William Shakespeare or his works
03039052-a,Skinnerian,of or relating to B. F. Skinner or his behaviorist psychology
03039519-a,Gaussian,of or relating to Karl Gauss or his mathematical theories of magnetics or electricity or astronomy or probability
03039852-a,Alexandrian,of or relating to Alexander the Great or his empire
03039979-a,"Aristotelian, Aristotelean, Aristotelic, peripatetic",of or relating to Aristotle or his philosophy
03040377-a,Balzacian,of or relating to Honore de Balzac or his writings
03040501-a,Beethovenian,of or relating to Ludwig van Beethoven or his music
03040647-a,Bismarckian,of or relating to Prince Otto von Bismarck or his accomplishments
03041315-a,"Coleridgian, Coleridgean",of or relating to Samuel Taylor Coleridge or his writings
03041878-a,"Dantean, Dantesque",of or relating to Dante Alighieri or his writings
03042029-a,Demosthenic,of or relating to Demosthenes or his oratory
03042149-a,Deweyan,of or relating to John Dewey or his philosophy
03042616-a,Draconian,of or relating to Draco or his harsh code of laws
03042761-a,Einsteinian,of or relating to Albert Einstein or his theories
03043247-a,Freudian,of or relating to Sigmund Freud or his psychoanalytic ideas
03043523-a,Gandhian,of or relating to Mahatma Gandhi or his teachings
03044032-a,Hegelian,of or relating to Hegel or his dialectic philosophy
03044250-a,Hitlerian,of or relating to or suggestive of Adolf Hitler or his Nazi regime in Germany
03045150-a,Socratic,of or relating to Socrates or to his method of teaching
